Discriminate,Ayrımcılık yapmak,It is illegal to discriminate based on race or gender.,Irk veya cinsiyete dayalı ayrımcılık yapmak yasa dışıdır.
Discrimination,Ayrımcılık,Laws were passed to end discrimination in the workplace.,İşyerinde ayrımcılığı sona erdirmek için yasalar çıkarıldı.
Disguise,Kılık değiştirmek/Gizlemek,He wore a fake beard to disguise himself.,Kendini gizlemek için takma sakal taktı.
Disorder,Kargaşa/Rahatsızlık,The protest resulted in public disorder and violence.,Protesto kamu düzeninin bozulması ve şiddetle sonuçlandı.
Displace,Yerinden etmek,The war displaced thousands of families from their homes.,Savaş binlerce aileyi evlerinden etti.
Dispose,Elden çıkarmak/Atmak,You must dispose of chemical waste safely and legally.,Kimyasal atıkları güvenli ve yasal bir şekilde atmalısınız.
Dispute,Anlaşmazlık,The neighbors are having a dispute over the property line.,Komşular mülk sınırı üzerinde bir anlaşmazlık yaşıyorlar.
Disrupt,Aksatmak/Bozmak,The strike will disrupt train services for three days.,Grev tren seferlerini üç gün boyunca aksatacak.
Disruption,Aksama/Kesinti,The storm caused a major disruption to air travel.,Fırtına hava yolculuğunda büyük bir aksamaya neden oldu.
Dissatisfied,Memnuniyetsiz,Many customers were dissatisfied with the poor service.,Birçok müşteri kötü hizmetten memnun değildi.
Distinct,Belirgin/Farklı,There is a distinct difference between the two products.,İki ürün arasında belirgin bir fark var.
Distinction,Ayrım/Fark,The law makes no distinction between rich and poor.,Yasa zengin ve fakir arasında hiçbir ayrım yapmaz.
Distinctive,Kendine özgü,The flower has a very distinctive and pleasant smell.,Çiçeğin çok kendine özgü ve hoş bir kokusu var.
Distort,Çarpıtmak/Bozmak,The media tends to distort the truth for headlines.,Medya manşetler uğruna gerçeği çarpıtma eğilimindedir.
Distract,Dikkatini dağıtmak,Don't let the noise distract you from your work.,Gürültünün dikkatinizi işinizden dağıtmasına izin vermeyin.
Distraction,Dikkat dağınıklığı,My phone is a constant distraction when I study.,Ders çalışırken telefonum sürekli bir dikkat dağıtıcıdır.
Distress,Sıkıntı/Elem,The news caused great distress to the family.,Haber aileye büyük sıkıntı verdi.
Ditch,Hendek,The car slid off the road into a ditch.,Araba yoldan kayıp bir hendeğe düştü.
Diversify,Çeşitlendirmek,Farmers should diversify their crops to reduce risk.,Çiftçiler riski azaltmak için mahsullerini çeşitlendirmelidir.
Divert,Yönlendirmek,Police had to divert traffic away from the accident.,Polis trafiği kazadan uzağa yönlendirmek zorunda kaldı.
Divine,İlahi/Harika,The dessert tasted absolutely divine and delicious.,Tatlı kesinlikle ilahi ve lezzetliydi.
Doctrine,Doktrin/Öğreti,They challenged the traditional doctrine of the church.,Kilisenin geleneksel doktrinine meydan okudular.
Domain,Alan/Etki alanı,This topic is outside my domain of expertise.,Bu konu uzmanlık alanımın dışındadır.
Dome,Kubbe,The mosque has a large golden dome on top.,Caminin tepesinde büyük altın bir kubbe var.
Dominance,Hakimiyet,The team maintained their dominance throughout the season.,Takım sezon boyunca hakimiyetini sürdürdü.
Donation,Bağış,He made a generous donation to the local hospital.,Yerel hastaneye cömert bir bağışta bulundu.
Donor,Bağışçı,The organ donor saved three lives yesterday.,Organ bağışçısı dün üç hayat kurtardı.
Doom,Kötü kader/Mahkum etmek,The plan was doomed to fail from the start.,Plan baştan başarısızlığa mahkumdu.
Dose,Doz,Take the recommended dose of medicine every day.,Her gün önerilen dozda ilacı alın.
Drain,Tahliye etmek/Boşaltmak,We need to drain the water from the pool.,Havuzdaki suyu boşaltmamız gerekiyor.
Drawback,Dezavantaj/Eksiklik,The only drawback of the plan is the cost.,Planın tek dezavantajı maliyettir.
Dread,Korkmak/Dehşete düşmek,I dread going to the dentist for a checkup.,Kontrol için dişçiye gitmekten korkuyorum.
Drift,Sürüklenmek,The boat began to drift away from the shore.,Tekne kıyıdan uzaklaşmaya (sürüklenmeye) başladı.
Drill,Matkap/Delmek,They will drill for oil in the desert.,Çölde petrol sondajı yapacaklar (delecekler).
Drought,Kuraklık,The long drought destroyed the crops this year.,Uzun kuraklık bu yıl mahsulleri yok etti.
Drown,Boğulmak,He nearly drowned while swimming in the rough sea.,Dalgalı denizde yüzerken neredeyse boğuluyordu.
Dual,Çift/İkili,The car has dual airbags for extra safety.,Arabanın ekstra güvenlik için çift hava yastığı var.
Dubious,Şüpheli,I am dubious about the truth of his story.,Hikayesinin doğruluğu konusunda şüpheliyim.
Duplicate,Kopyalamak/Çoğaltmak,Please duplicate this key for my roommate.,Lütfen bu anahtarı ev arkadaşım için çoğaltın.
Duration,Süre,You must stay seated for the duration of the flight.,Uçuş süresince yerinizde oturmalısınız.
Dwell,Üzerinde durmak/İkamet etmek,Don't dwell on the past move forward.,Geçmişin üzerinde durma ileriye bak.
Dynamic,Dinamik,The market is dynamic and changes very quickly.,Pazar dinamiktir ve çok hızlı değişir.
Eagle,Kartal,The eagle soared high above the mountains.,Kartal dağların üzerinde yükseklerde süzüldü.
Earnings,Kazanç,Company earnings have increased significantly this quarter.,Şirket kazançları bu çeyrekte önemli ölçüde arttı.
Earthquake,Deprem,The earthquake caused massive destruction in the city.,Deprem şehirde büyük yıkıma neden oldu.
Easter,Paskalya,We celebrate Easter with family every spring.,Her bahar Paskalya'yı ailemizle kutlarız.
Eccentric,Eksantrik/Tuhaf,The billionaire was known for his eccentric behavior.,Milyarder eksantrik davranışlarıyla biliniyordu.
Echo,Yankı,Her voice echoed in the empty hall.,Sesi boş salonda yankılandı.
Eclipse,Tutulma,We watched the solar eclipse through special glasses.,Güneş tutulmasını özel gözlüklerle izledik.
Ecological,Ekolojik,The ecological damage will take years to repair.,Ekolojik hasarın onarılması yıllar alacak.
Economical,Hesaplı/Tasarruflu,This car is very economical on fuel.,Bu araba yakıt konusunda çok tasarruflu.
Economics,Ekonomi (Bilim),She is studying economics at the university.,Üniversitede ekonomi okuyor.
Editorial,Başmakale,The newspaper published an editorial about the election.,Gazete seçim hakkında bir başmakale yayınladı.
Efficiency,Verimlilik,We need to improve the efficiency of our factory.,Fabrikamızın verimliliğini artırmamız gerekiyor.
Ego,Ego/Benlik,His massive ego makes it hard to work with him.,Büyük egosu onunla çalışmayı zorlaştırıyor.
Elaborate,Detaylandırmak,Please elaborate on your idea so we understand.,Lütfen fikrinizi detaylandırın ki anlayalım.
Elastic,Elastik,The material is elastic and stretches easily.,Malzeme elastiktir ve kolayca esner.
Elder,Yaşlı/Kıdemli,Respect your elders and listen to their advice.,Büyüklerinize saygı gösterin ve tavsiyelerini dinleyin.
Electoral,Seçimle ilgili,The electoral system needs to be reformed soon.,Seçim sisteminin yakında reforme edilmesi gerekiyor.
Elementary,Temel/İlköğretim,Elementary education is free for all children.,İlköğretim tüm çocuklar için ücretsizdir.
Elevate,Yükseltmek,We need to elevate the discussion to a higher level.,Tartışmayı daha yüksek bir seviyeye çıkarmalıyız.
Eligible,Uygun/Seçilebilir,You are eligible for a scholarship this year.,Bu yıl burs için uygunsunuz (seçilebilirsiniz).
Elite,Seçkin/Elit,The elite troops were sent to the front line.,Seçkin birlikler cephe hattına gönderildi.
Eloquent,Güzel konuşan/Dokunaklı,He gave an eloquent speech that moved everyone.,Herkesi duygulandıran etkileyici bir konuşma yaptı.
Elusive,Bulunmaz/Zor,The solution to this problem remains elusive.,Bu sorunun çözümü hala bulunamaz (zor) durumda.
Embark,Girişmek/Gemiye binmek,We are about to embark on a new journey.,Yeni bir yolculuğa çıkmak üzereyiz.
Embassy,Büyükelçilik,Go to the embassy to renew your passport.,Pasaportunuzu yenilemek için büyükelçiliğe gidin.
Embed,Gömmek/Yerleştirmek,The journalist was embedded with the military unit.,Gazeteci askeri birliğe yerleştirildi.
Embody,Somutlaştırmak,She embodies the spirit of hope and resilience.,Umut ve dayanıklılık ruhunu somutlaştırıyor.
Embrace,Kucaklamak/Benimsemek,He embraced his daughter before leaving for work.,İşe gitmeden önce kızını kucakladı.
Emission,Emisyon/Salınım,Carbon emissions must be reduced to stop warming.,Isınmayı durdurmak için karbon emisyonları azaltılmalıdır.
Empathy,Empati,Showing empathy helps to build strong relationships.,Empati göstermek güçlü ilişkiler kurmaya yardımcı olur.
Emperor,İmparator,The emperor ruled the vast empire for decades.,İmparator geniş imparatorluğu on yıllarca yönetti.
Empirical,Deneysel,There is no empirical evidence to support this claim.,Bu iddiayı destekleyecek deneysel bir kanıt yok.
Empower,Güçlendirmek,Education empowers people to change their lives.,Eğitim insanları hayatlarını değiştirmeleri için güçlendirir.
Emulate,Örnek almak/Taklit etmek,He tries to emulate his father's success in business.,İş hayatında babasının başarısını örnek almaya çalışıyor.
Enact,Yasalaştırmak,The government will enact new laws next month.,Hükümet gelecek ay yeni yasalar çıkaracak (yasalaştıracak).
Enclose,İliştirmek/Çevrelemek,Please enclose a photo with your application form.,Lütfen başvuru formunuza bir fotoğraf iliştirin.
Endanger,Tehlikeye atmak,Pollution endangers the lives of marine animals.,Kirlilik deniz hayvanlarının yaşamını tehlikeye atar.
Endeavor,Çabalamak/Gayret,We will endeavor to finish the project on time.,Projeyi zamanında bitirmek için çabalayacağız.
Endorse,Onaylamak/Desteklemek,The celebrity endorsed the new beauty product.,Ünlü yeni güzellik ürününü destekledi (reklamını yaptı).
Endure,Katlanmak/Dayanmak,He had to endure great pain during the surgery.,Ameliyat sırasında büyük bir acıya katlanmak zorunda kaldı.
Enforce,Uygulamak/Zorlamak,Police are here to enforce the law strictly.,Polis yasayı sıkı bir şekilde uygulamak için burada.
Enlarge,Büyütmek/Genişletmek,We plan to enlarge the kitchen next year.,Gelecek yıl mutfağı büyütmeyi planlıyoruz.
Enlighten,Aydınlatmak/Bilgi vermek,Please enlighten me on this complex subject.,Lütfen bu karmaşık konuda beni aydınlatın.
Enlist,Askere yazılmak/Katılmak,He decided to enlist in the army at eighteen.,On sekiz yaşında orduya yazılmaya karar verdi.
Enquire,Sormak/Soruşturmak,I am writing to enquire about the job opening.,İş açıklığı hakkında bilgi almak (sormak) için yazıyorum.
Enrage,Çileden çıkarmak,His rude comments enraged the entire audience.,Kaba yorumları tüm seyirciyi çileden çıkardı.
Enrich,Zenginleştirmek,Reading books will enrich your mind and vocabulary.,Kitap okumak zihninizi ve kelime dağarcığınızı zenginleştirecektir.
Enroll,Kaydolmak,You need to enroll in the course before Friday.,Cumadan önce kursa kaydolmanız gerekiyor.
Ensue,Ardından gelmek/Sonuçlanmak,Panic ensued after the fire alarm went off.,Yangın alarmı çaldıktan sonra panik baş gösterdi.
Entail,Gerektirmek/Kapsamak,The job entails a lot of travel abroad.,İş yurt dışına çok fazla seyahat etmeyi gerektiriyor.
Enterprise,Girişim/İşletme,This is a risky business enterprise to start.,Bu başlamak için riskli bir iş girişimidir.
Entitle,Hak vermek,This ticket entitles you to a free meal.,Bu bilet size ücretsiz yemek hakkı verir.
Entity,Varlık/Birim,The company operates as a separate legal entity.,Şirket ayrı bir tüzel kişilik (varlık) olarak faaliyet göstermektedir.
Entrepreneur,Girişimci,The entrepreneur started a successful tech company.,Girişimci başarılı bir teknoloji şirketi kurdu.
Envision,Öngörmek/Hayal etmek,I envision a future where energy is free.,Enerjinin ücretsiz olduğu bir gelecek hayal ediyorum.
Envy,Kıskanmak/İmrenmek,I envy your ability to remain calm under pressure.,Baskı altında sakin kalma yeteneğine imreniyorum.
Epidemic,Salgın,The flu epidemic spread rapidly through the school.,Grip salgını okulda hızla yayıldı.
Equality,Eşitlik,We fight for racial and gender equality everywhere.,Her yerde ırk ve cinsiyet eşitliği için savaşıyoruz.
Equate,Eşit saymak,You cannot equate money with happiness directly.,Parayı doğrudan mutlulukla eşit tutamazsınız.
Equation,Denklem,Solve this mathematical equation to find the answer.,Cevabı bulmak için bu matematiksel denklemi çözün.
Equip,Donatmak,We need to equip the lab with new computers.,Laboratuvarı yeni bilgisayarlarla donatmamız gerekiyor.
Equity,Hakkaniyet/Özkaynak,They demanded equity and fairness in the workplace.,İşyerinde hakkaniyet ve adalet talep ettiler.
Era,Çağ/Dönem,The invention of the internet marked a new era.,İnternetin icadı yeni bir çağı işaret etti.
Eradicate,Kökünü kazımak,We aim to eradicate poverty in our lifetime.,Yaşam süremiz içinde yoksulluğun kökünü kazımayı hedefliyoruz.
Erase,Silmek,Please erase the pencil marks from the paper.,Lütfen kağıttaki kurşun kalem izlerini silin.
Erect,Dikmek/İnşa etmek,They plan to erect a statue in the square.,Meydanda bir heykel dikmeyi planlıyorlar.
Erode,Aşındırmak,The wind will erode the rocks over time.,Rüzgar zamanla kayaları aşındıracak.
Erosion,Erozyon/Aşınma,Soil erosion is a major problem for farmers.,Toprak erozyonu çiftçiler için büyük bir sorundur.
Erupt,Patlamak (Yanardağ),The volcano might erupt at any moment now.,Yanardağ şu an her an patlayabilir.
